name	price	products
Rubberbanditz Powerlifting Band Set - Light, Medium, Heavy Bands (#1 - #3)	34.99	1 - Band - RBZ - #01 Light, 1 - Band - RBZ - #02 Medium, 1 - Band - RBZ - #03 Heavy
Rubberbanditz Powerlifting Band Set - Robust, Power, Strong Bands (#4 - #6)	98.99	1 - Band - RBZ - #04 Robust, 1 - Band - RBZ - #05 Power, 1 - Band - RBZ - #06 Strong
Rubberbanditz Pull Up / Crossfit Band - Heavy - 30 - 50 lbs. (14 - 23 kg) Resistance	19.5	1 - Band - RBZ - #03 Heavy
Rubberbanditz Pull Up / Crossfit Band - Heavy (30 - 50 Lbs Resistance)	19.5	1 - Band - RBZ - #03 Heavy
Rubberbanditz Pull Up / Crossfit Band - Medium - 20 - 35 lbs. (9 - 16 kg) Resistance	13.95	1 - Band - RBZ - #02 Medium
Rubberbanditz Pull Up / Crossfit Band - Medium (20 - 35 Lbs Resistance)	13.95	1 - Band - RBZ - #02 Medium
Rubberbanditz Pull Up / Crossfit Band - Monster (80 - 200 Lbs Resistance)	119.95	1 - Band - RBZ - #08 Monster
Rubberbanditz Pull Up / Crossfit Band - Power - 50 - 120 lbs. (23 - 54 kg) Resistance	39.95	1 - Band - RBZ - #05 Power
Rubberbanditz Pull Up / Crossfit Band - Power (50 - 120 Lbs Resistance)	39.95	1 - Band - RBZ - #05 Power
Rubberbanditz Pull Up / Crossfit Band - Robust - 40 - 80 lbs. (18 - 36 kg) Resistance	25.5	1 - Band - RBZ - #04 Robust
Rubberbanditz Pull Up / Crossfit Band - Robust (40 - 80 Lbs Resistance)	25.5	1 - Band - RBZ - #04 Robust
Rubberbanditz Pull Up / Crossfit Band - Strong - 60 - 150 lbs. (27 - 68 kg) Resistance	54.95	1 - Band - RBZ - #06 Strong
Rubberbanditz Pull Up / Crossfit Band Complete Set - Light, Medium, Heavy, Robust, Power, Strong Bands (#1 - #6)	133.99	1 - Band - RBZ - #01 Light, 1 - Band - RBZ - #02 Medium, 1 - Band - RBZ - #03 Heavy, 1 - Band - RBZ - #04 Robust, 1 - Band - RBZ - #05 Power, 1 - Band - RBZ - #06 Strong
Rubberbanditz Pull Up / Crossfit Band Pairs - Heavy (30 - 50 Lbs Resistance)	34.99	2 - Band - RBZ - #03 Heavy
Rubberbanditz Pull Up / Crossfit Band Pairs - Medium (20 - 35 Lbs Resistance)	24.99	2 - Band - RBZ - #02 Medium
Rubberbanditz Pull Up / Crossfit Band Pairs - Power (50 - 120 Lbs Resistance)	69.99	2 - Band - RBZ - #05 Power
Rubberbanditz Pull Up / Crossfit Band Set - Heavy, Power Bands (#3 & #5)	52.99	1 - Band - RBZ - #03 Heavy, 1 - Band - RBZ - #05 Power
Rubberbanditz Pull Up / Crossfit Band Set - Heavy, Robust Bands (#3 & #4)	37.99	1 - Band - RBZ - #03 Heavy, 1 - Band - RBZ - #04 Robust
Rubberbanditz Pull Up / Crossfit Band Set - Heavy, Robust, Power Bands (#3 - #5)	69.99	1 - Band - RBZ - #03 Heavy, 1 - Band - RBZ - #04 Robust, 1 - Band - RBZ - #05 Power
Rubberbanditz Pull Up / Crossfit Band Set - Light, Medium, Heavy Bands (#1 - #3)	34.99	1 - Band - RBZ - #01 Light, 1 - Band - RBZ - #02 Medium, 1 - Band - RBZ - #03 Heavy
Rubberbanditz Pull Up / Crossfit Band Set - Medium, Heavy Bands (#2 & #3)	29.99	1 - Band - RBZ - #02 Medium, 1 - Band - RBZ - #03 Heavy
Rubberbanditz Pull Up / Crossfit Band Set - Medium, Heavy, Power Bands (#2, #3, #5)	61.99	1 - Band - RBZ - #02 Medium, 1 - Band - RBZ - #03 Heavy, 1 - Band - RBZ - #05 Power
Rubberbanditz Pull Up / Crossfit Band Set - Medium, Heavy, Robust Bands (#2, #3, #4)	49.99	1 - Band - RBZ - #02 Medium, 1 - Band - RBZ - #03 Heavy, 1 - Band - RBZ - #04 Robust
Rubberbanditz Pull Up / Crossfit Band Set - Medium, Robust Bands (#2 & #4)	33.99	1 - Band - RBZ - #02 Medium, 1 - Band - RBZ - #04 Robust
Rubberbanditz Pull Up / Crossfit Band Set - Robust, Power Bands (#4 & #5)	52.99	1 - Band - RBZ - #04 Robust, 1 - Band - RBZ - #05 Power
Rubberbanditz Pull Up / Crossfit Band Set - Robust, Power, Strong Bands (#4 - #6)	98.99	1 - Band - RBZ - #04 Robust, 1 - Band - RBZ - #05 Power, 1 - Band - RBZ - #06 Strong
Rubberbanditz Pull Up Band - Heavy (30 - 50 Lbs Resistance)	19.5	1 - Band - RBZ - #03 Heavy
Rubberbanditz Pull Up Band - Medium (20 - 35 Lbs Resistance)	13.95	1 - Band - RBZ - #02 Medium
Rubberbanditz Pull Up Band - Power (50 - 120 Lbs Resistance)	39.95	1 - Band - RBZ - #05 Power
Rubberbanditz Pull Up Band - Robust (40 - 80 Lbs Resistance)	25.5	1 - Band - RBZ - #04 Robust
Rubberbanditz Pull Up Band with Free Workout DVD - Power (50 - 120 Lbs Resistance)	39.95	1 - Band - RBZ - #05 Power
Rubberbanditz Resistance Exercise Band - Heavy (30 - 50 Lbs Resistance)	19.5	1 - Band - RBZ - #03 Heavy
Rubberbanditz Resistance Exercise Band - Light (5 - 15 lbs Resistance)	6.95	1 - Band - RBZ - #01 Light
Rubberbanditz Resistance Exercise Band - Medium (20 - 35 Lbs Resistance)	13.95	1 - Band - RBZ - #02 Medium
Rubberbanditz Resistance Exercise Band Pairs - Robust (40 - 80 Lbs Resistance)	43.99	2 - Band - RBZ - #04 Robust
Rubberbanditz Resistance Exercise Band Set - Heavy, Robust, Power Bands (#3 - #5)	69.99	1 - Band - RBZ - #03 Heavy, 1 - Band - RBZ - #04 Robust, 1 - Band - RBZ - #05 Power
Rubberbanditz Resistance Exercise Band Set - Light, Medium, Heavy Bands (#1 - #3)	34.99	1 - Band - RBZ - #01 Light, 1 - Band - RBZ - #02 Medium, 1 - Band - RBZ - #03 Heavy
Rubberbanditz Resistance Exercise Band with Free Workout DVD - Medium (20 - 35 Lbs Resistance)	13.95	1 - Band - RBZ - #02 Medium
Rubberbanditz Soft Hand Grip and Carabiner	9.5	1 - Accessory - Hand Grip, 1 - Accessory - Carabiner, Metal Small
Rubberbanditz Soft Hand Grips	9.5	1 - Accessory - Hand Grip, 1 - Accessory - Carabiner, Metal Small
Rubberbanditz Soft Hand Grips and Carabiners	9.5	2 - Accessory - Hand Grip, 2 - Accessory - Carabiner, Metal Small
Rubberbanditz Therapy / Rehabilitation(Rehab) Band - Agility (175 - 225 Lbs Resistance)	89.95	1 - Band - RBZ - #09 Agility
Rubberbanditz Therapy / Rehabilitation(Rehab) Band - Explosive (225 - 275 Lbs Resistance)	129.95	1 - Band - RBZ - #10 Explosive
Rubberbanditz Therapy / Rehabilitation(Rehab) Band - Heavy (30 - 50 Lbs Resistance)	19.5	1 - Band - RBZ - #03 Heavy
Rubberbanditz Therapy / Rehabilitation(Rehab) Band - Light (5 - 15 lbs Resistance)	6.95	1 - Band - RBZ - #01 Light
Rubberbanditz Therapy / Rehabilitation(Rehab) Band - Medium (20 - 35 Lbs Resistance)	13.95	1 - Band - RBZ - #02 Medium
Rubberbanditz Therapy / Rehabilitation(Rehab) Band - Monster (80 - 200 Lbs Resistance)	119.95	1 - Band - RBZ - #08 Monster
Rubberbanditz Therapy / Rehabilitation(Rehab) Band - Power (50 - 120 Lbs Resistance)	39.95	1 - Band - RBZ - #05 Power
Rubberbanditz Therapy / Rehabilitation(Rehab) Band - Robust (40 - 80 Lbs Resistance)	25.5	1 - Band - RBZ - #04 Robust
Rubberbanditz Therapy / Rehabilitation(Rehab) Band Complete Set - Light, Medium, Heavy, Robust, Power, Strong Bands (#1 - #6)	133.99	1 - Band - RBZ - #01 Light, 1 - Band - RBZ - #02 Medium, 1 - Band - RBZ - #03 Heavy, 1 - Band - RBZ - #04 Robust, 1 - Band - RBZ - #05 Power, 1 - Band - RBZ - #06 Strong
Rubberbanditz Therapy / Rehabilitation(Rehab) Band Pairs - Heavy (30 - 50 Lbs Resistance)	34.99	2 - Band - RBZ - #03 Heavy
Rubberbanditz Therapy / Rehabilitation(Rehab) Band Pairs - Light (5 - 15 lbs Resistance)	11.99	2 - Band - RBZ - #01 Light
Rubberbanditz Therapy / Rehabilitation(Rehab) Band Pairs - Medium (20 - 35 Lbs Resistance)	24.99	2 - Band - RBZ - #02 Medium
Rubberbanditz Therapy / Rehabilitation(Rehab) Band Pairs - Power (50 - 120 Lbs Resistance)	69.99	2 - Band - RBZ - #05 Power
Rubberbanditz Therapy / Rehabilitation(Rehab) Band Pairs - Robust (40 - 80 Lbs Resistance)	43.99	2 - Band - RBZ - #04 Robust
