Product Name	Product Cost	Average Retail Price	Margin	Total Sales
Ab Straps	10.0	29.95	19.95	19
Accessory - Ankle Grip	1.6098974836905873	6.741544040986631	5.131646557296044	1073
Accessory - Carabiner, Metal Big	0.5477448216128558	0.6833363317484223	0.13559151013556658	1064
Accessory - Carabiner, Metal Small	0.3427957658779577	0.8717059572601761	0.5289101913822184	2409
Accessory - DVD	0.27	8.250161651994935	7.980161651994935	714
Accessory - DVD Sleeve	0.02352	0.0	-0.02352	714
Accessory - Door Strap	0.6248018786263073	3.4795054991463497	2.8547036205200422	839
Accessory - Hand Grip	1.2307638190954773	4.255537533549428	3.024773714453951	1592
Accessory - Hand Strap	0.9522200000000001	4.464555395337659	3.5123353953376593	167
Accessory - Manual	1.16098	8.914023785336257	7.753043785336256	687
Accessory - Parkour DVD	1.1536727272727272	7.536050396220423	6.382377668947695	21
Accessory - Travel Bag - Large	1.2766099999999998	5.511883265234171	4.235273265234171	756
Accessory - Travel Bag - Small	0	2.900479452054795	2.900479452054795	4
Agility Ladder - 15'	10.0	22.5	12.5	5
Back Support Pad	5.0	36.76140925150605	31.761409251506052	135
Balance Pad	14.669999999999998	39.95	25.280000000000005	7
Band - FF - #01 Orange	1.7000000000000002	6.991110516538204	5.291110516538204	977
Band - FF - #02 Red	2.8418118466898954	9.332749296493516	6.490937449803621	1435
Band - FF - #03 Black	3.9934531450577664	11.690434236241865	7.696981091184099	3895
Band - FF - #04 Purple	5.274963503649635	15.549272922892966	10.27430941924333	3425
Band - FF - #05 Green	8.50649263721553	23.212814068012783	14.706321430797253	2988
Band - FF - #06 Blue	12.207766990291264	27.524678791629736	15.316911801338472	206
Band - FF - #07 Orange	13.7	33.02758093308729	19.327580933087294	47
Band - FF - #08 Gray	16.9	43.022624072583284	26.122624072583285	43
Band - RBZ - #01 Light	1.7000000000000002	5.8119826127145515	4.111982612714551	1729
Band - RBZ - #02 Medium	3.3153617945007237	12.403051427625789	9.087689633125065	2764
Band - RBZ - #03 Heavy	4.4622849038764585	17.10294728545933	12.640662381582871	3173
Band - RBZ - #04 Robust	6.46	22.44293076672433	15.98293076672433	2799
Band - RBZ - #05 Power	9.945408997955012	47.18929697681838	37.24388797886337	1467
Band - RBZ - #06 Strong	13.048293650793651	50.63565135336834	37.587357702574685	252
Band - RBZ - #08 Monster	26.095	75.64718061674009	49.55218061674009	82
Band - RBZ - #09 Agility	23.04	56.944230769230764	33.904230769230765	45
Band - RBZ - #10 Explosive	36.12818181818182	79.47054794520548	43.34236612702366	22
"Band - RBZ - 12"" #01 Light"	0.6375	2.382	1.7445000000000002	13
"Band - RBZ - 12"" #02 Medium"	1.275	6.888363636363636	5.613363636363635	54
"Band - RBZ - 12"" #03 Heavy"	1.445	5.8914285714285715	4.446428571428571	17
"Band - RBZ - 12"" #04 Robust"	2.125	7.308888888888889	5.183888888888889	10
"Band - RBZ - 12"" #05 Power"	2.975	10.076107382550333	7.1011073825503335	127
"Band - RBZ - 12"" #06 Strong"	4.25	13.321666666666665	9.071666666666665	8
"Battle Rope - 1.5""x30'"	42.76666666666667	119.95000000000002	77.18333333333334	3
"Battle Rope - 2""x50'"	110.16666666666667	249.95	139.7833333333333	1
"Foam Roller - EVA - 18""x6"""	7.3	15.95	8.649999999999999	22
"Foam Roller - EVA - 36""x6"""	11.0	29.95	18.95	4
Foam Yoga Mat	8.0	NaN	NaN	1
Gym Rings - Plastic	17.0	53.080212669419595	36.080212669419595	53
Jump Rope	4.0	17.55664973532605	13.55664973532605	136
Pull up Bar - Big	13.9	38.8385625	24.938562500000003	28
Pull up Bar - Small	9.3	22.43227062868095	13.13227062868095	162
Push up grips	4.8	NaN	NaN	3
Slam Ball - 10 lb	8.2	33.112195121951224	24.912195121951225	20
Slam Ball - 15 lb	8.6	44.141132075471695	35.541132075471694	20
Slam Ball - 20 lb	9.6	54.18132352941176	44.58132352941176	23
Slam Ball - 25 lb	12.8	62.89354838709677	50.093548387096774	9
Slam Ball - 30 lb	13.5	71.2405	57.7405	5
Slam Ball - 35 lb	10.751052631578947	63.74249999999999	52.99144736842105	1
Wall Ball - 10 lb	33.764	85.5	51.736	3
Wall Ball - 14 lb	12.111052631578948	95.5	83.38894736842106	3
Wall Ball - 16 lb	12.451052631578946	NaN	NaN	1
Wall Ball - 20 lb	60.8	108.95	48.150000000000006	4
Wall Ball - 30 lb	14.661052631578947	111.36666666666667	96.70561403508773	1
